,ID,ra,dec,z,BH_mass
0,70,2.169302,1.238649,1.073,0.0
1,98,1.091028,0.962126,0.7867,0.0
2,233,0.331289,0.17723,1.6199,0.0
3,1018,1.364696,-0.098956,0.6125,0.0
4,1310,0.221552,-0.292485,2.7563,9.361
5,1327,0.28137,0.686984,1.3988,8.817
6,1540,2.607954,0.913245,2.8473,0.0
7,1580,1.669492,0.643952,1.3383,8.666
8,2113,4.850273,-0.276395,1.769,0.0
9,2306,4.026021,0.478127,1.8725,0.0
10,2401,1.725449,-0.259281,1.7252,9.591
11,2670,0.068467,-0.309283,0.7026,8.664
12,2764,0.537709,0.098021,2.1463,0.0
13,2860,3.926662,0.263132,2.4301,9.21
14,2866,4.0462,-0.253447,1.5766,8.885
15,2867,3.865938,-0.590953,1.0488,8.374
16,2953,3.932215,-0.44671,1.3006,8.415
17,3035,4.010978,-0.34321,2.2491,0.0
18,4370,2.521021,0.861517,1.6711,8.549
19,4600,3.860528,0.303667,1.362,8.593
20,4671,4.674216,-1.142395,0.782,0.0
21,5036,4.726053,-1.033959,1.9323,0.0
22,5158,1.175791,0.006482,1.0077,9.189
23,5429,4.337229,-0.207058,1.3097,8.476
24,5524,4.600524,-1.002214,1.8665,0.0
25,5626,3.612357,-0.051877,1.177,8.737
26,5871,1.39683,0.005967,0.7358,8.049
27,5993,2.818492,0.440682,1.4093,8.748
28,6433,1.689453,0.016564,1.5161,8.997
29,7001,3.683452,-0.005146,1.5509,9.18
30,7838,1.132873,0.53199,1.4442,8.371
31,8029,4.529266,0.379059,1.2002,8.893
32,8442,4.382103,0.81949,2.4329,9.099
33,9321,1.30049,0.220337,1.2745,8.972
34,9330,1.056536,-0.771464,1.2841,8.14
35,9746,0.161078,1.24064,1.8352,0.0
36,9836,4.398735,-1.223622,0.805,8.774
37,9837,1.380896,0.248875,0.9916,0.0
38,9872,2.794822,0.508096,1.0182,7.957
39,10408,0.668537,-0.675888,0.7061,8.175
40,10579,2.568711,0.20769,2.2762,9.697
41,11021,4.499319,-0.096728,1.8072,0.0
42,11906,3.553909,-0.350723,3.1548,9.961
43,12291,2.712312,-0.525903,2.053,8.712
44,12317,4.830471,1.031178,2.3092,0.0
45,12417,4.119045,1.123037,1.3963,8.903
46,12529,3.858266,0.391294,1.7488,8.627
