my_ID,ID,MJD,ra,dec,Mass,z,ERR,M_i,spec_mjd,ra.1,dec.1,u_band,g_band,r_band,i_band,z_band,ug,gr,ri,iz,zu
19637,2638-54095-0005 ,54095,56.372741,-0.61532669,7.566865891,0.8255,0.158863185,-23.160667,54095,56.3727,-0.615307,21.03764,20.62096,20.47768,20.42114,20.21604,0.41668,0.14328,0.05654,0.2051,-0.8216
667,7852-56987-0165 ,56987,1.091439,0.74555755,8.322896461,1.0866399,0.254556653,-23.31251,56987,1.091439,0.7455575,21.29171,21.20513,20.90357,20.90125,20.78837,0.08658,0.30156,0.00232,0.11288,-0.50334
25264,0375-52140-0621 ,52140,336.9358,0.58080259,8.553287535,1.5488,0.152018689,-25.784046,52140,336.9358,0.580781,19.47699,19.22899,19.14076,19.00969,19.02666,0.248,0.08823,0.13107,-0.01697,-0.45033
17966,4227-55481-0826 ,55481,19.024315,0.85868523,8.899340223,2.288,0.10042243,-25.675625,55481,19.02432,0.858684,21.50946,20.81531,20.78048,20.76633,20.50047,0.69415,0.03483,0.01415,0.26586,-1.00899
3218,0708-52175-0486 ,52175,43.617987,0.40507144,9.081881618,1.9079,0.112773081,-25.769547,52175,43.61797,0.40508,20.23974,20.22996,20.1283,19.87046,19.93045,0.00978,0.10166,0.25784,-0.05999,-0.30929
22968,7848-56959-0740 ,56959,359.05791,0.35260778,9.160465401,1.735929,0.223620813,-24.637447,56959,359.0579,0.3526078,20.87524,20.8504,20.8979,20.61146,20.58465,0.02484,-0.0475,0.28644,0.02681,-0.29059
26562,4196-55478-0600 ,55478,325.6869,0.75784299,7.684204712,2.501,0.067671402,-27.208038,55478,325.6869,0.7578401,20.69513,19.45373,19.10682,18.94968,18.55135,1.2414,0.34691,0.15714,0.39833,-2.14378
18647,0711-52202-0194 ,52202,49.014678,-0.70943832,8.656592404,0.685,0.186964936,-23.831619,52202,49.01464,-0.709447,20.15829,19.79905,19.66904,19.48973,19.33036,0.35924,0.13001,0.17931,0.15937,-0.82793
17619,4218-55479-0364 ,55479,3.0225417,-0.93172049,8.61127208,2.565,0.115281968,-25.187466,55479,3.022538,-0.9317206,22.28707,21.65079,21.42447,21.76241,20.91479,0.63628,0.22632,-0.33794,0.84762,-1.37228
28103,0675-52590-0451 ,52590,341.36672,0.79961913,8.426260737,1.4965,0.115256696,-25.622559,52590,341.3667,0.799635,20.16898,19.81118,19.36435,19.20728,19.23444,0.3578,0.44683,0.15707,-0.02716,-0.93454
