my_ID,ID,MJD,ra,dec,Mass,z,ERR,M_i,spec_mjd,u_band,g_band,r_band,i_band,z_band,ug,gr,ri,iz,zu
8708,7874-57279-0786 ,57279,16.488785,1.224454,7.920944043,0.8312753,0.421703453,-22.009714,57279,22.40164,21.88188,21.7259,21.58567,21.10423,0.51976,0.15598,0.14023,0.48144,-1.29741
16510,0391-51782-0423 ,51782,6.8091918,0.20103786,7.938791509,0.4536,0.113678403,-23.55612,58048,18.89375,18.69851,18.94294,18.82462,18.61912,0.19524,-0.24443,0.11832,0.2055,-0.27463
1720,7837-56987-0716 ,56987,30.513932,0.61705187,8.710328671,1.5191952,0.117282415,-23.94837,56987,21.33735,21.16876,21.10442,20.87641,21.03821,0.16859,0.06434,0.22801,-0.1618,-0.29914
1123,4234-55478-0034 ,55478,31.544501,-0.31603503,8.596546327,2.194,0.33769846,-26.348141,55451,20.26585,19.87811,19.70456,19.74336,19.59078,0.38774,0.17355,-0.0388,0.15258,-0.67507
21983,4211-55446-0104 ,55446,352.41786,-0.29769444,8.816196379,2.342,0.141731112,-25.11908,55446,21.66921,21.04085,21.17345,21.11341,20.78251,0.62836,-0.1326,0.06004,0.3309,-0.8867
17305,7843-56902-0802 ,56902,26.219994,0.38965466,8.407710397,1.8412074,0.325356811,-24.25647,56902,21.77261,21.63989,21.60986,21.29123,21.39422,0.13272,0.03003,0.31863,-0.10299,-0.37839
15788,4223-55451-0203 ,55451,12.218411,-0.408564,9.192605285,2.694,0.195316524,-27.614027,55451,19.89591,18.88111,18.76194,18.84742,18.61756,1.0148,0.11917,-0.08548,0.22986,-1.27835
12043,4242-55476-0498 ,55476,42.602183,-0.238652,8.883095047,1.475,0.066908519,-25.697931,55476,20.60195,20.49397,20.4974,20.12123,20.0299,0.10798,-0.00343,0.37617,0.09133,-0.57205
2210,7850-56956-0946 ,56956,1.1836416,-0.55837738,8.686323157,1.0870159,0.07750745,-23.50811,56956,21.01213,20.96547,20.61489,20.58747,20.45749,0.04666,0.35058,0.02742,0.12998,-0.55464
27857,4209-55478-0930 ,55478,349.25423,0.5349377,8.135113512,4.68,0.554302647,-26.588053,55478,24.21542,24.59377,22.66466,21.11503,21.11977,-0.37835,1.92911,1.54963,-0.00474,-3.09565
14892,7820-56984-0456 ,56984,42.913861,-0.9688977,8.706622172,0.7608695,0.226404977,-22.44804,56984,22.10542,21.77518,21.52225,21.13819,20.66904,0.33024,0.25293,0.38406,0.46915,-1.43638
25931,4210-55444-0558 ,55444,348.94447,0.74417848,8.213787042,2.153,0.304758721,-24.994293,55444,21.57137,21.2739,21.20104,21.08728,20.84559,0.29747,0.07286,0.11376,0.24169,-0.72578
11724,7871-56902-0954 ,56902,13.903226,-1.0458057,8.920166137,1.7284155,0.485073467,-23.465113,56902,22.39514,22.29867,22.42647,21.987,22.07389,0.09647,-0.1278,0.43947,-0.08689,-0.32125
15566,4218-55479-0162 ,55479,3.8915611,-1.0923509,8.273887615,1.082,0.147812731,-24.347038,55479,20.97258,20.50773,20.09913,20.03937,19.87899,0.46485,0.4086,0.05976,0.16038,-1.09359
10982,7843-56902-0052 ,56902,26.942784,-0.88149188,7.94365184,1.9785777,0.133029016,-24.214449,56902,21.80544,21.74412,21.74868,21.52382,21.31467,0.06132,-0.00456,0.22486,0.20915,-0.49077
12589,8790-57363-0301 ,57363,19.711036,-0.27668115,6.989154523,0.3677784,0.170928634,-21.570843,57363,21.33406,20.92779,20.33473,20.12535,19.69015,0.40627,0.59306,0.20938,0.4352,-1.64391
8873,7870-57016-0415 ,57016,10.931153,-0.88092119,8.632051521,1.1756678,0.128297924,-23.873108,57016,21.08373,21.26695,20.89046,20.91147,20.85563,-0.18322,0.37649,-0.02101,0.05584,-0.2281
22262,4192-55469-0704 ,55469,319.44146,1.1928044,8.759971438,3.214,0.020742789,-25.126364,57691,24.42474,21.49976,21.22093,21.6138,21.65056,2.92498,0.27883,-0.39287,-0.03676,-2.77418
19561,1518-52937-0174 ,52937,55.729136,-0.105892,9.418606968,1.3464,0.148345323,-24.518322,52937,19.92886,20.08629,19.86211,19.9142,19.97413,-0.15743,0.22418,-0.05209,-0.05993,0.04527
16108,8790-57363-0757 ,57363,19.887297,0.69547952,9.589596816,1.7340955,0.556187357,-23.094641,57363,22.67425,22.40247,22.47303,22.28222,22.23946,0.27178,-0.07056,0.19081,0.04276,-0.43479
24125,4206-55471-0205 ,55471,343.37893,-0.94074187,8.296052713,2.137,0.128112247,-24.28104,55471,22.09066,21.96632,21.99514,21.79563,21.5551,0.12434,-0.02882,0.19951,0.24053,-0.53556
3316,7864-56979-0325 ,56979,4.1882236,-1.0168324,8.515995752,1.7786437,0.190549192,-24.556139,56979,22.13454,21.80196,21.40725,20.96256,20.96878,0.33258,0.39471,0.44469,-0.00622,-1.16576
8736,0410-51816-0574 ,51816,44.244257,0.91321689,9.01513605,1.1175,0.079861738,-25.219584,58056,19.17599,19.11412,18.85868,18.93629,19.03085,0.06187,0.25544,-0.07761,-0.09456,-0.14514
9902,7837-56987-0416 ,56987,29.960825,-0.7520151,8.814489701,2.022744,0.270028955,-23.948996,56987,22.20582,22.04423,22.02489,21.87006,21.69132,0.16159,0.01934,0.15483,0.17874,-0.5145
11409,1087-52930-0552 ,52930,7.4497277,0.33541312,9.107620367,1.5357,0.12536538,-24.939087,52930,20.97791,20.74355,20.51977,20.29124,20.36399,0.23436,0.22378,0.22853,-0.07275,-0.61392
14706,7843-56902-0766 ,56902,26.077286,0.34620942,8.749992492,0.71,0.41796358,-22.122667,56902,22.27091,21.74681,21.49519,21.21097,20.82902,0.5241,0.25162,0.28422,0.38195,-1.44189
12215,4242-55476-0962 ,55476,44.701295,0.55924811,8.464354809,1.504,0.128104218,-24.702572,55476,21.2909,20.83136,20.56951,20.34428,20.37506,0.45954,0.26185,0.22523,-0.03078,-0.91584
27538,4212-55447-0692 ,55447,353.16048,0.63134323,7.946963257,3.073,0.196835621,-25.475342,55447,23.12811,21.3305,21.25251,21.32477,21.275,1.79761,0.07799,-0.07226,0.04977,-1.85311
2894,4217-55478-0123 ,55478,2.2370176,-1.062398,8.484952305,0.873,0.246606313,-22.602932,55478,21.88265,21.3741,21.18695,21.23677,20.81788,0.50855,0.18715,-0.04982,0.41889,-1.06477
2776,4241-55450-0388 ,55450,41.702894,-0.55029599,8.88402558,1.486,0.030672894,-25.017994,55450,20.46828,20.40344,20.3657,20.3447,20.43096,0.06484,0.03774,0.021,-0.08626,-0.03732
21155,4200-55499-0506 ,55499,331.80547,0.56289679,8.571866673,1.766,0.588398724,-45.401432,55499,21.85422,21.46391,21.37974,20.9754,20.92171,0.39031,0.08417,0.40434,0.05369,-0.93251
27311,0382-51816-0027 ,51816,350.49204,-0.68822418,9.160432063,2.1123,0.105917465,-26.382721,51816,19.78412,19.69479,19.65849,19.49293,19.32268,0.08933,0.0363,0.16556,0.17025,-0.46144
5843,0701-52179-0385 ,52179,29.717197,0.51060676,8.662388742,2.092,0.207686912,-26.261126,52179,20.13397,19.86365,19.8128,19.72931,19.54779,0.27032,0.05085,0.08349,0.18152,-0.58618
426,7850-56956-0928 ,56956,1.0791829,-1.1901423,8.19512502,2.0101717,0.119208425,-24.381479,56956,21.53993,21.46031,21.52641,21.32816,21.15288,0.07962,-0.0661,0.19825,0.17528,-0.38705
26673,1487-52964-0502 ,52964,355.65239,0.581136,8.991080051,1.7569,0.147170063,-25.24489,52964,20.48973,20.29997,20.3971,20.16263,20.23738,0.18976,-0.09713,0.23447,-0.07475,-0.25235
2629,7857-57278-0306 ,57278,12.498646,0.55519438,8.755977059,2.5291393,0.336914759,-24.107071,57278,22.85634,22.39662,22.37271,22.44884,22.09317,0.45972,0.02391,-0.07613,0.35567,-0.76317
16920,7337-56662-0261 ,56662,41.302524,-0.161626,7.865019878,2.11,0.216504177,-23.929703,56662,22.98453,22.66231,22.4872,22.37018,22.00041,0.32222,0.17511,0.11702,0.36977,-0.98412
7792,7336-56656-0463 ,56656,38.551326,-0.59749699,9.075365232,1.187,0.291564086,-22.418308,56656,22.50703,22.58415,22.20265,22.13709,21.82626,-0.07712,0.3815,0.06556,0.31083,-0.68077
21805,4211-55446-0890 ,55446,352.38837,0.44909922,8.17943122,2.024,0.394018503,-24.688114,55446,22.0005,21.5916,21.33571,21.21875,20.9194,0.4089,0.25589,0.11696,0.29935,-1.0811
17104,4229-55501-0543 ,55501,20.962506,0.99959028,9.162123733,2.603,0.330847597,-25.137304,55501,22.14676,21.53605,21.40343,21.37311,21.07418,0.61071,0.13262,0.03032,0.29893,-1.07258
27978,4208-55476-0012 ,55476,348.01321,-0.38496619,8.464900712,2.052,0.793248129,-24.906195,55476,21.58049,21.20745,21.05942,20.91109,20.66853,0.37304,0.14803,0.14833,0.24256,-0.91196
27397,5146-55831-0095 ,55831,328.02547,0.55615763,8.398990988,1.391,0.144309611,-23.705008,55831,21.64041,21.83266,21.3795,21.43473,21.37585,-0.19225,0.45316,-0.05523,0.05888,-0.26456
23485,4202-55445-0804 ,55445,336.63448,0.65607659,8.744321711,2.062,0.150984957,-24.368505,55445,21.83385,21.62771,21.56182,21.53228,21.36133,0.20614,0.06589,0.02954,0.17095,-0.47252
8437,4220-55447-0654 ,55447,6.4134282,0.13300515,8.250578698,2.741,0.134369111,-25.633266,55447,21.87817,20.85877,20.73446,20.90327,20.58559,1.0194,0.12431,-0.16881,0.31768,-1.29258
22261,4205-55454-0810 ,55454,341.76526,0.5470365,8.97230569,1.604,0.121139382,-25.057737,55454,20.40804,20.20436,20.14473,19.90402,20.10667,0.20368,0.05963,0.24071,-0.20265,-0.30137
9963,8788-57360-0966 ,57360,16.554899,0.551732,8.735638109,1.5234941,0.027830416,-25.324883,57360,19.96331,19.82554,19.81722,19.68392,19.81633,0.13777,0.00832,0.1333,-0.13241,-0.14698
25534,4212-55447-0638 ,55447,352.88685,1.1058159,10.55292982,2.638,0.294758137,-28.228378,55447,19.37135,18.66077,18.3536,18.15878,18.0082,0.71058,0.30717,0.19482,0.15058,-1.36315
3159,0694-52209-0590 ,52209,18.211639,0.74129978,8.521671641,0.9137,0.073438025,-24.493402,52209,19.55061,19.37692,19.27078,19.37258,19.33728,0.17369,0.10614,-0.1018,0.0353,-0.21333
21339,4202-55445-0682 ,55445,336.23373,0.6285957,7.795292736,2.427,0.136381268,-24.596779,55445,22.41336,21.77664,21.80099,21.74441,21.51811,0.63672,-0.02435,0.05658,0.2263,-0.89525
6843,7872-57279-0650 ,57279,13.672774,0.55174108,8.27037174,2.278336,0.188097607,-24.414143,57279,22.66824,22.1423,21.95458,21.94145,21.61344,0.52594,0.18772,0.01313,0.32801,-1.0548
753,3588-55184-0626 ,55184,9.6144015,1.167405,8.654879578,0.886,0.05127098,-23.511209,55184,21.18956,20.76063,20.6992,20.58048,20.22758,0.42893,0.06143,0.11872,0.3529,-0.96198
14474,7833-57286-0132 ,57286,32.440805,1.053497,8.118926818,2.9448853,0.293807706,-24.087296,57286,23.48559,22.19472,22.20082,22.31587,22.03376,1.29087,-0.0061,-0.11505,0.28211,-1.45183
3418,6782-56572-0975 ,56572,41.743115,0.55202088,9.052075974,1.741,0.079001379,-25.34543,56572,20.26303,20.16271,20.18899,19.91863,19.9206,0.10032,-0.02628,0.27036,-0.00197,-0.34243
26392,5147-55854-0130 ,55854,329.60074,0.3339678,8.68794534,1.972,0.142750185,-24.159203,55854,21.79957,21.81796,21.88593,21.76252,21.66501,-0.01839,-0.06797,0.12341,0.09751,-0.13456
20169,4200-55499-0985 ,55499,334.55386,0.44120449,8.738328204,1.259,0.202615214,-23.789362,55499,22.3832,21.93824,21.33553,21.09321,21.03018,0.44496,0.60271,0.24232,0.06303,-1.35302
22391,0381-51811-0462 ,51811,347.22034,0.034697799,9.022224252,2.1451,0.081152072,-26.030287,51811,20.35013,20.15894,20.04734,20.02084,19.86746,0.19119,0.1116,0.0265,0.15338,-0.48267
819,7874-57279-0208 ,57279,17.057079,-0.19720423,7.924538987,1.0060276,0.512635636,-23.322285,57279,22.11415,21.54528,20.70857,20.75888,20.46786,0.56887,0.83671,-0.05031,0.29102,-1.64629
17673,4218-55479-0876 ,55479,3.9878332,0.80622521,8.980594857,2.313,0.0444022,-26.583515,55479,20.88021,20.05572,19.68243,19.57028,19.29361,0.82449,0.37329,0.11215,0.27667,-1.5866
7446,7843-56902-0112 ,56902,26.723369,-0.17631139,8.407681312,1.8153508,0.204071839,-24.157427,56902,21.74541,21.6295,21.54218,21.1864,21.23512,0.11591,0.08732,0.35578,-0.04872,-0.51029
26618,4210-55444-0190 ,55444,350.39221,-0.26532288,7.147569497,0.76,0.812885246,-22.80934,57692,22.10745,21.29447,21.10217,20.85221,20.2959,0.81298,0.1923,0.24996,0.55631,-1.81155
16841,0397-51794-0262 ,51794,16.904207,-0.31987058,8.223363299,0.7375,0.151320006,-25.534716,58104,18.38911,18.13326,18.12771,18.18605,18.11446,0.25585,0.00555,-0.05834,0.07159,-0.27465
10753,7862-56984-0536 ,56984,0.6279096,0.27390292,8.738696408,1.4457157,0.233838088,-23.592175,56984,21.66073,21.64651,21.40196,21.31303,21.25341,0.01422,0.24455,0.08893,0.05962,-0.40732
3131,4217-55478-0856 ,55478,2.2576955,0.19629529,9.125902959,1.043,0.036459884,-24.247963,55478,20.62091,20.59156,20.19544,20.32685,20.33603,0.02935,0.39612,-0.13141,-0.00918,-0.28488
