ID,Mass_ground_truth,RA,DEC,tau_lim_lo,tau_lim_hi,sig_lim_lo,sig_lim_hi,mu,u_band,g_band,r_band,i_band,z_band,z,M_i,ug,gr,ri,iz,zu,tau,sigma
49159,9.284316227,0.027228,0.515349,2.49379,4.35451,-0.701226,-0.491335,20.1577,20.2168913,20.15028261,20.18104348,19.96276087,20.02643478,1.8227,-25.1,0.06660869,-0.03076087,0.21828261,-0.06367391,-0.19045652,2.64638,-0.555389
24646,8.287811321,0.049842,0.040372,2.01338,3.51705,-0.787068,-0.614831,18.0157,18.03942857,17.80089796,17.85126531,17.76834694,17.69081633,0.479,-24.046,0.23853061,-0.05036735,0.08291837,0.07753061,-0.34861224,2.22711,-0.660666
113067,8.591425266,0.051076,-0.539049,2.39531,4.27549,-0.664451,-0.429594,20.5704,20.52394915,20.47116949,20.24177966,20.13216949,20.20091525,1.4365,-24.529,0.05277966,0.22938983,0.10961017,-0.06874576,-0.3230339,2.54143,-0.49508
35034,9.483710503,0.057505,-0.913004,2.98242,4.60146,-1.12452,-0.857041,20.3372,20.25356897,20.06756897,19.92434483,19.47691379,19.40746552,1.8361,-25.648,0.186,0.14322414,0.44743104,0.06944827,-0.84610345,3.25353,-0.974542
18787,8.645721388,0.061778,-1.175193,2.86962,4.59463,-0.890711,-0.675474,19.462,19.5542449,19.53153061,19.49679592,19.29940816,19.30089796,1.8902,-26.149,0.02271429,0.03473469,0.19738776,-0.0014898,-0.25334694,3.0856,-0.747354
50026,9.267319551,0.064492,0.87968,2.91292,4.58353,-0.742615,-0.561522,19.6739,19.53621277,19.32768085,19.27325532,19.03221277,19.04102128,1.8476,-26.017,0.20853192,0.05442553,0.24104255,-0.00880851,-0.49519149,3.11413,-0.629296
2670,8.643473571,0.068467,-0.309283,3.41439,4.72309,-0.98806,-0.818315,18.7944,18.5902766,18.06014894,17.86021277,17.7476383,17.68559574,0.7026,-25.151,0.53012766,0.19993617,0.11257447,0.06204256,-0.90468086,5,-0.9
36251,8.313835466,0.07453,0.436845,2.82882,4.55276,-1.1538,-0.860565,20.1972,20.29478125,20.01740625,19.95128125,19.6269375,19.47890625,0.5459,-22.667,0.277375,0.066125,0.32434375,0.14803125,-0.815875,3.11708,-0.997065
68390,8.367766595,0.13278,1.051468,1.75954,3.07516,-0.606327,-0.352805,20.2839,20.26421053,19.85115789,19.43836842,19.38894737,19.35897895,1.0925,-24.394,0.41305264,0.41278947,0.04942105,0.02996842,-0.90523158,1.97955,-0.41039
95334,8.789964843,0.136254,-0.920266,2.06948,3.74882,-0.735901,-0.490032,20.1644,20.17976667,19.95993333,19.85736667,19.66278333,19.68055,1.5247,-25.229,0.21983334,0.10256666,0.19458334,-0.01776667,-0.49921667,2.26878,-0.554578
9746,8.722074226,0.161078,1.24064,-0.062869,3.67807,-1.01723,0.402996,20.7443,20.77532609,20.46634783,20.64508696,20.17826087,19.83378261,1.8352,-25.171,0.30897826,-0.17873913,0.46682609,0.34447826,-0.94154348,1.37824,-0.248716
62907,9.570696147,0.162498,-0.301102,2.76338,4.51029,-0.854681,-0.677854,19.2842,19.13470833,18.90197917,18.77102083,18.7800625,18.64108333,2.1224,-26.673,0.23272916,0.13095834,-0.00904167,0.13897917,-0.493625,2.91012,-0.736686
101690,8.387347398,0.173268,1.095974,2.31581,4.40383,-0.766778,-0.415802,20.7264,20.8535,20.63133333,20.4868125,20.29458333,20.35020833,1.5452,-24.669,0.22216667,0.14452083,0.19222917,-0.055625,-0.50329167,2.58107,-0.517237
109616,9.217825559,0.175095,-0.750388,2.49454,4.42633,-0.476028,-0.256148,20.3592,20.42534,20.3865,20.06844,19.98832,20.00858,1.3077,-24.504,0.03884,0.31806,0.08012,-0.02026,-0.41676,2.64874,-0.313704
69839,8.844193002,0.178746,0.92766,3.27677,4.68217,-0.920397,-0.756821,18.5934,18.64788462,18.45380769,18.19519231,18.16257692,18.01361538,0.9512,-25.763,0.19407693,0.25861538,0.03261539,0.14896154,-0.63426924,4.38235,-0.840181
