,Unnamed: 0,SDSS_Name,ra_DR7,dec_DR7,M,ERR,ID,ra_S82,dec_S82,z
4894,4894,032015.45-005217.5,50.064414978027344,-0.8715500235557556,8.46920161284217,0.07409315467964381,3843141,50.064411,-0.871548,1.2588
2302,2302,014110.40+003107.1,25.29336357116699,0.5186430215835571,9.058838907188568,0.4238705153906431,1354223,25.293344,0.518651,1.8789
5281,5281,033417.17-003535.5,53.57157516479492,-0.5932070016860962,9.121854332663128,0.09069494060377764,3833525,53.571564,-0.59321,1.2629
1701,1701,011615.51-004334.7,19.064647674560547,-0.7263100147247314,8.807747352376829,0.21079056522164946,616379,19.064638,-0.726309,1.2761
2519,2519,015053.49-001318.9,27.7229118347168,-0.22193099558353424,8.787439602585323,0.10335251678318803,1294776,27.72291,-0.221928,1.5388
4123,4123,024826.70-004144.4,42.11125183105469,-0.6956800222396851,9.828843819294967,0.19723645150378186,2615997,42.11124,-0.695674,2.9889
5356,5356,033718.81+003303.7,54.32839965820313,0.5510450005531311,8.881136239687482,0.15102013680283796,3866073,54.328392,0.551049,0.4370000000000001
7277,7276,221814.94-004333.3,334.5622863769531,-0.7259430289268494,8.324119854369119,0.2456142380482129,1413463,334.562286,-0.7259399999999999,1.6181
1597,1597,011046.97+000153.5,17.695728302001953,0.03153499960899353,7.707591663001926,0.18741151761783328,648276,17.695723,0.031537,1.0447
1992,1992,012857.80+002620.8,22.2408447265625,0.4391359984874725,9.234847040749726,0.14838786875170348,1013289,22.240828,0.4391390000000001,1.8769
8882,8881,234440.03-003231.6,356.1668395996094,-0.5421310067176819,8.653259635827661,0.028941000341375568,3902909,356.16684,-0.54213,0.5027
68,68,000316.39-000732.4,0.8182920217514038,-0.12567199766635895,8.877119164766086,0.20954561553763407,131141,0.818289,-0.125675,3.1795
3377,3377,022240.22-000909.4,35.66758728027344,-0.15262000262737274,9.227889226492076,0.34400336663079994,2127268,35.667557,-0.152613,2.07
5888,5887,204652.15+005500.2,311.7173156738281,0.9167299866676332,9.323824995309176,0.0842583385759544,3625319,311.7173160000001,0.916728,1.797
48,48,000209.05+000552.8,0.5377089977264404,0.098021999001503,8.615472129161233,0.08273167323185478,2764,0.537709,0.098021,2.1463
